study_id,short_cite,expt_num,original_ma,main_question_ids_preference,response_mode,exposure_phase,method,dependent_measure,participant_design,native_lang,test_lang,infant_type,group_name_1,group_name_2,t,n_1,n_2,mean_age_1,same_infant,mean_age_2,x_1,x_2,sd_1,sd_2,r,corr,gender_1,num_trials,speaker_fam,speaker_experience,speaker_female,speaker,presentation,setting,speech_type,effect_significance_reported,d,d_var,es_method,prop_female,n,mean_age,age_group
Newman2006,Newman & Hussain (2006),1,no,yes,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,4.5 months old,NA,NA,30,NA,131,1,NA,10.42,9.98,2.5,2.62,NA,NA,0.66,16,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,significant,0.1718278125610738,0.03382541328615873,d_within_two,0.66,30,131,3-6 mo
Newman2006,Newman & Hussain (2006),1,no,yes,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,4.5 months old,NA,NA,30,NA,131,1,NA,9.92,8.63,3.45,2.5,NA,NA,0.66,16,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,significant,0.42818996539786924,0.03638911077445714,d_within_two,0.66,30,131,3-6 mo
Newman2006,Newman & Hussain (2006),1,no,yes,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,9 months old,NA,NA,30,NA,271,2,NA,6.96,6.83,2.5,2.19,NA,NA,0.66,16,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,non-significant,0.05531639445364543,0.03338433172492252,d_within_two,0.66,30,271,6-9 mo
Newman2006,Newman & Hussain (2006),1,no,yes,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,9 months old,NA,NA,30,NA,271,2,NA,6.46,6.84,1.8,2.73,NA,NA,0.66,16,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,non-significant,-0.16434286045925872,0.03378347626306552,d_within_two,0.66,30,271,6-9 mo
Newman2006,Newman & Hussain (2006),1,no,yes,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,13 months old,NA,NA,30,NA,405,3,NA,6.65,6.75,2.5,2.73,NA,NA,0.66,16,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,non-significant,-0.03820399272072028,0.03335765908433008,d_within_two,0.66,30,405,12-15 mo
Newman2006,Newman & Hussain (2006),1,no,yes,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,13 months old,NA,NA,30,NA,405,3,NA,5.96,6.56,2.62,2.62,NA,NA,0.66,16,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,non-significant,-0.2290076335877861,0.0342074082706913,d_within_two,0.66,30,405,12-15 mo
Pegg1992,Pegg et al. (1992),2,yes,yes,eye-tracking,habituation,CF,looking_time,within_two,Canadian English,native,typical,femaleVoice,NA,NA,24,NA,49,2,NA,78.75,56.89,57.63,35.11,NA,NA,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,significant,0.45811237950044664,0.04603889483857419,d_within_two,NA,24,49,0-3 mo
Pegg1992,Pegg et al. (1992),2,yes,yes,eye-tracking,habituation,CF,looking_time,within_two,Canadian English,native,typical,maleVoice,NA,NA,24,NA,49,3,NA,50.375,24.12,31.27,7.65,NA,NA,NA,NA,0,1,0,Unfamiliar male,Tape recording,Laboratory,Simulated,significant,1.1533917847890995,0.06938151269206218,d_within_two,NA,24,49,0-3 mo
Robertson2013,Robertson et al. (2013),1,no,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,Hearing Impairement,HI,NA,2.5,9,NA,581,1,NA,7.7,5.4,2.98,1.69,NA,NA,0.22,12,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,significant,0.9494531338380627,0.161192291853051,d_within_two,0.22,9,581,NA
Robertson2013,Robertson et al. (2013),1,no,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,typical,younger,NA,2.52,9,NA,237,2,NA,11.7,9.7,5.85,4.75,NA,NA,NA,12,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,significant,0.37534287691222445,0.11893790418048585,d_within_two,NA,9,237,6-9 mo
Robertson2013,Robertson et al. (2013),1,no,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,typical,older,NA,0.168,9,NA,566,3,NA,11.75,11.49,5.85,5.75,NA,NA,NA,12,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,non-significant,0.0448259205897816,0.11122274239759562,d_within_two,NA,9,566,NA
Schachner2011,Schachner & Hannon (2011),1,yes,no,behavior,familiarization,FC,target_selection,within_two,American English,native,typical,NA,NA,1.43,20,NA,158.2,1,NA,46.65,43.47,7.815,12.47,NA,NA,0.5,NA,0,0,1,Unfamiliar females,Video recording,Laboratory,Simulated,non-significant,0.30558907997338647,0.052334617144974525,d_within_two,0.5,20,158.2,3-6 mo
Schachner2011,Schachner & Hannon (2011),1,yes,no,behavior,familiarization,FC,target_selection,within_two,American English,native,typical,NA,NA,NA,20,NA,158.2,1,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0,0,1,Unfamiliar females,Video recording,Laboratory,Simulated,significant,1.26,0.08969,reported_d,0.5,20,158.2,3-6 mo
Segal2015,Segal & Newman (2015),1,no,yes,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,NA,NA,NA,36,NA,365.25,1,NA,9.22,8.45,3.1,3.1,NA,NA,0.53,NA,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,not reported,0.248387096774194,0.02863466874783212,d_within_two,0.53,36,365.25,9-12 mo
Segal2015,Segal & Newman (2015),1,no,yes,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,NA,NA,NA,24,NA,487,2,NA,10.82,9.38,4.4,3.8,NA,NA,0.42,NA,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,not reported,0.35028306389557423,0.04422287968441814,d_within_two,0.42,24,487,15-18 mo
Segal2015,Segal & Newman (2015),1,no,yes,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,NA,NA,NA,36,NA,365.25,1,NA,8.95,8.72,3,3.5,NA,NA,0.53,NA,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,not reported,0.07056077897395766,0.02784692810457516,d_within_two,0.53,36,365.25,9-12 mo
Segal2015,Segal & Newman (2015),1,no,yes,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,NA,NA,NA,24,NA,487,2,NA,10.12,10.08,4.3,3.9,NA,NA,0.42,NA,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,not reported,0.009744510742681713,0.04166864490603363,d_within_two,0.42,24,487,15-18 mo
Singh2002,Singh et al. (2002),1,no,yes,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,NA,NA,3.72,13,NA,185,1,NA,12.6,6.7,5.6,2.1,NA,NA,0.3076923,12,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,significant,1.3951070693582772,0.1517816821143631,d_within_two,0.3076923,13,185,3-6 mo
Singh2002,Singh et al. (2002),2,yes,yes,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,NA,NA,-0.09,12,NA,179,happy,NA,5.9,6,2.34,2.34,NA,NA,0.388888889,12,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,non-significant,-0.04273504273504258,0.08340942849489857,d_within_two,0.388888889,12,179,3-6 mo
Singh2002,Singh et al. (2002),2,yes,yes,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,NA,NA,-0.54,12,NA,179,neutral,NA,5.9,6.3,3.22,2.7,NA,NA,0.388888889,12,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,non-significant,-0.13461681592234928,0.08408840363037798,d_within_two,0.388888889,12,179,3-6 mo
Singh2002,Singh et al. (2002),2,yes,yes,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,NA,NA,-0.99,12,NA,179,sad,NA,7.1,7.4,1.64,1.82,NA,NA,0.388888889,12,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,non-significant,-0.17317622045830294,0.08458291680550928,d_within_two,0.388888889,12,179,3-6 mo
Singh2002,Singh et al. (2002),2A,yes,yes,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,NA,NA,0.38,24,NA,189,2,NA,8.5,8.3,3.54,4.48,NA,NA,0.541666667,12,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,non-significant,0.049536220969130906,0.041717788274747966,d_within_two,0.541666667,24,189,3-6 mo
Singh2002,Singh et al. (2002),3,yes,no,behavior,familiarization,HPP,looking_time,between,American English,native,typical,NA,NA,NA,14,14,187,3,187,10.2,9.7,5.16,2,NA,NA,0.428571429,12,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,not reported,0.12777406134184416,0.14314868233485337,classic_cohen_d_between,0.428571429,28,187,3-6 mo
Singh2002,Singh et al. (2002),3,yes,no,behavior,familiarization,HPP,looking_time,between,American English,native,typical,NA,NA,NA,14,14,187,3,187,7.6,7.2,1.91,3.15,NA,NA,0.428571429,12,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,not reported,0.15355906685409945,0.14327822119666253,classic_cohen_d_between,0.428571429,28,187,3-6 mo
Singh2002,Singh et al. (2002),4,no,no,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,NA,NA,3.11,16,NA,183,happyIDS_vs_neutralADS,NA,12.9,7.8,4.7,3.2,NA,NA,0.4375,12,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,significant,1.2684761956593948,0.1127822455923291,d_within_two,0.4375,16,183,3-6 mo
Singh2002,Singh et al. (2002),4,no,no,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,NA,NA,-2.2,16,NA,183,neutralIDS_vs_happyADS,NA,8,9.5,3.1,2.3,NA,NA,0.4375,12,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,significant,-0.5495574790854837,0.07193791946308725,d_within_two,0.4375,16,183,3-6 mo
Singh2002,Singh et al. (2002),5,no,no,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,NA,NA,2.31,14,NA,187,neutralIDS_vs_sadADS,NA,11.7,7.5,4.9,3,NA,NA,0.4285714,12,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,significant,1.0338118979247726,0.1095988228675293,d_within_two,0.4285714,14,187,3-6 mo
Singh2002,Singh et al. (2002),5,no,no,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,NA,NA,-1.07,14,NA,187,sadIDS_vs_neutralADS,NA,7.8,8.5,2.1,2.6,NA,NA,0.4285714,12,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,non-significant,-0.2962009528618633,0.07456196444558127,d_within_two,0.4285714,14,187,3-6 mo
Singh2009,Singh et al. (2009),1,yes,no,behavior,familiarization,HPP,looking_time,between,American English,native,typical,NA,NA,NA,16,16,224,1,224,10.492891,9.55450237,2.8436019,2.8436019,NA,NA,0.375,8,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,not reported,0.33000000105500016,0.1267015625108797,classic_cohen_d_between,0.375,32,224,6-9 mo
Singh2009,Singh et al. (2009),1,yes,no,behavior,familiarization,HPP,looking_time,between,American English,native,typical,NA,NA,NA,16,16,224,1,224,8.616113744,7.791469194,2.50236967,2.27488152,NA,NA,0.375,8,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,not reported,0.34484733299473425,0.12685812004802471,classic_cohen_d_between,0.375,32,224,6-9 mo
Singh2009,Singh et al. (2009),1,no,no,behavior,familiarization,HPP,looking_time,between,American English,native,typical,NA,NA,NA,16,16,224,1,224,8.061349693,8.024539877,1.76687117,2.20858896,NA,NA,0.375,8,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,not reported,0.018405254337677465,0.12500529302167554,classic_cohen_d_between,0.375,32,224,6-9 mo
Trainor1996,Trainor et al. (1996),2,yes,yes,behavior,test_only,HPP,looking_time,within_one,Canadian English,native,typical,NA,NA,NA,10,NA,185.92,1,NA,0.61,0.5,0.09,NA,NA,NA,NA,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,significant,1.222222222222222,0.17469135802469135,classic_cohen_d_within_one,NA,10,185.92,3-6 mo
Trainor1996,Trainor et al. (1996),2,yes,yes,behavior,test_only,HPP,looking_time,within_one,Canadian English,native,typical,NA,NA,NA,10,NA,185.92,2,NA,0.6,0.5,0.15,NA,NA,NA,NA,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,significant,0.6666666666666665,0.12222222222222222,classic_cohen_d_within_one,NA,10,185.92,3-6 mo
Trainor1996,Trainor et al. (1996),2,yes,yes,behavior,test_only,HPP,looking_time,within_one,Canadian English,native,typical,NA,NA,NA,10,NA,185.92,3,NA,0.55,0.5,0.06,NA,NA,NA,NA,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,significant,0.8333333333333341,0.1347222222222223,classic_cohen_d_within_one,NA,10,185.92,3-6 mo
Trainor1996,Trainor et al. (1996),2,yes,yes,behavior,test_only,HPP,looking_time,within_one,Canadian English,native,typical,NA,NA,NA,10,NA,185.92,4,NA,0.62,0.5,0.07,NA,NA,NA,NA,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,significant,1.714285714285714,0.24693877551020402,classic_cohen_d_within_one,NA,10,185.92,3-6 mo
Trainor1996,Trainor et al. (1996),2,yes,yes,behavior,test_only,HPP,looking_time,within_one,Canadian English,native,typical,NA,NA,NA,10,NA,185.92,5,NA,0.59,0.5,0.1,NA,NA,NA,NA,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,significant,0.8999999999999997,0.14049999999999996,classic_cohen_d_within_one,NA,10,185.92,3-6 mo
Trainor1996,Trainor et al. (1996),2,yes,yes,behavior,test_only,HPP,looking_time,within_one,Canadian English,native,typical,NA,NA,NA,10,NA,185.92,6,NA,0.42,0.5,0.06,NA,NA,NA,NA,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,significant,-1.3333333333333337,0.18888888888888894,classic_cohen_d_within_one,NA,10,185.92,3-6 mo
Werker1989,Werker & McLeod (1989),1,yes,yes,eye-tracking,test_only,CF,looking_time,within_two,Canadian English,native,typical,NA,NA,NA,12,NA,154,1,NA,81.92,61.3,NA,NA,NA,NA,NA,4,0,0,NA,Unfamiliar female and male,Video recording,Laboratory,Simulated,significant,3.15,0.4967708333333333,reported_d,NA,12,154,3-6 mo
Werker1989,Werker & McLeod (1989),2,yes,yes,eye-tracking,test_only,CF,looking_time,within_two,Canadian English,native,typical,NA,NA,NA,16,NA,134,2,NA,62.67,58.17,NA,NA,NA,NA,NA,4,0,0,NA,Unfamiliar female and male,Video recording,Laboratory living room like setting,Simulated,significant,0.66,0.0761125,reported_d,NA,16,134,3-6 mo
Werker1989,Werker & McLeod (1989),2,yes,yes,other,test_only,CF,facial_expression,within_two,Canadian English,native,typical,NA,NA,NA,16,NA,134,2,NA,4.31,3.99,NA,NA,NA,NA,NA,4,0,0,NA,Unfamiliar female and male,Video recording,Laboratory living room like setting,Simulated,significant,0.54,0.0716125,reported_d,NA,16,134,3-6 mo
Werker1989,Werker & McLeod (1989),2,yes,yes,eye-tracking,test_only,CF,looking_time,within_two,Canadian English,native,typical,NA,NA,NA,16,NA,253,3,NA,46.71,36.77,NA,NA,NA,NA,NA,4,0,0,NA,Unfamiliar female and male,Video recording,Laboratory living room like setting,Simulated,significant,1.27,0.112903125,reported_d,NA,16,253,6-9 mo
Werker1989,Werker & McLeod (1989),2,yes,yes,other,test_only,CF,facial_expression,within_two,Canadian English,native,typical,NA,NA,NA,16,NA,253,3,NA,3.47,3.1,NA,NA,NA,NA,NA,4,0,0,NA,Unfamiliar female and male,Video recording,Laboratory living room like setting,Simulated,significant,1.17,0.105278125,reported_d,NA,16,253,6-9 mo
Werker1989,Werker & McLeod (1989),3,yes,yes,other,test_only,CF,facial_expression,within_two,Canadian English,native,typical,NA,NA,NA,16,NA,139,4,NA,4.72,4.18,NA,NA,NA,NA,NA,4,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,significant,1.15,0.103828125,reported_d,NA,16,139,3-6 mo
